UsageID,ZoneID,Date,TotalUsageGB,PeakUsageGB
1,1,2023-01-01,178.07,265.77
2,2,2023-01-01,210.88,380.67
3,3,2023-01-01,228.19,351.11
4,1,2023-01-02,238.99,385.34
5,2,2023-01-02,168.76,322.03
6,3,2023-01-02,278.47,441.6
7,1,2023-01-03,205.55,291.63
8,2,2023-01-03,152.4,280.17
9,3,2023-01-03,264.0,451.13
10,1,2023-01-04,182.7,312.32
11,2,2023-01-04,161.66,224.28
12,3,2023-01-04,225.74,302.11
13,1,2023-01-05,194.3,347.64
14,2,2023-01-05,239.91,468.43
15,3,2023-01-05,192.22,335.38
16,1,2023-01-06,222.58,335.79
17,2,2023-01-06,230.16,343.19
18,3,2023-01-06,220.38,329.53
19,1,2023-01-07,185.24,254.55
20,2,2023-01-07,177.85,322.4
21,3,2023-01-07,193.52,300.41
22,1,2023-01-08,190.97,274.94
23,2,2023-01-08,238.15,435.68
24,3,2023-01-08,230.02,392.98
25,1,2023-01-09,189.03,310.32
26,2,2023-01-09,194.63,374.14
27,3,2023-01-09,177.53,319.96
28,1,2023-01-10,169.32,260.71
29,2,2023-01-10,211.33,283.47
30,3,2023-01-10,214.38,358.32
31,1,2023-01-11,125.98,221.55
32,2,2023-01-11,155.63,284.24
33,3,2023-01-11,253.26,372.31
34,1,2023-01-12,212.86,372.17
35,2,2023-01-12,157.34,260.05
36,3,2023-01-12,237.19,472.65
37,1,2023-01-13,189.96,341.08
38,2,2023-01-13,259.26,406.54
39,3,2023-01-13,205.75,332.12
40,1,2023-01-14,144.79,284.55
41,2,2023-01-14,192.03,317.79
42,3,2023-01-14,208.31,330.15
43,1,2023-01-15,207.95,340.95
44,2,2023-01-15,260.67,452.84
45,3,2023-01-15,234.6,450.07
46,1,2023-01-16,245.32,338.55
47,2,2023-01-16,207.88,299.03
48,3,2023-01-16,212.44,337.66
49,1,2023-01-17,238.35,475.95
50,2,2023-01-17,175.65,335.11
51,3,2023-01-17,197.31,316.71
52,1,2023-01-18,236.63,341.34
53,2,2023-01-18,247.73,468.03
54,3,2023-01-18,162.43,217.85
55,1,2023-01-19,191.93,335.11
56,2,2023-01-19,166.61,282.98
57,3,2023-01-19,241.16,467.95
58,1,2023-01-20,216.01,341.32
59,2,2023-01-20,224.62,344.93
60,3,2023-01-20,167.35,262.58
61,1,2023-01-21,212.27,391.87
62,2,2023-01-21,196.77,343.63
63,3,2023-01-21,215.29,333.98
64,1,2023-01-22,202.38,350.77
65,2,2023-01-22,206.88,275.79
66,3,2023-01-22,198.57,361.61
67,1,2023-01-23,200.35,313.38
