EmployeeID,Name,Department,Role,AccessLevel
1,Emp_1,Security,Admin,Low
2,Emp_2,Operations,Admin,Low
3,Emp_3,HR,Admin,Medium
4,Emp_4,Operations,Admin,Medium
5,Emp_5,Operations,Admin,Low
6,Emp_6,Finance,Analyst,High
7,Emp_7,HR,Admin,Low
8,Emp_8,HR,Analyst,Medium
9,Emp_9,HR,Admin,Medium
10,Emp_10,Operations,Manager,High
11,Emp_11,Security,Engineer,Medium
12,Emp_12,HR,Analyst,High
13,Emp_13,Operations,Admin,Low
14,Emp_14,Finance,Manager,High
15,Emp_15,Security,Engineer,Low
16,Emp_16,Finance,Analyst,High
17,Emp_17,Security,Engineer,Medium
18,Emp_18,Operations,Manager,High
19,Emp_19,IT,Analyst,Low
20,Emp_20,Security,Engineer,Medium
21,Emp_21,Finance,Admin,Medium
22,Emp_22,Operations,Analyst,Medium
23,Emp_23,Security,Engineer,Low
24,Emp_24,IT,Manager,Low
25,Emp_25,IT,Manager,Low
26,Emp_26,HR,Analyst,Low
27,Emp_27,HR,Engineer,High
28,Emp_28,Finance,Analyst,Low
29,Emp_29,Security,Analyst,High
30,Emp_30,Security,Engineer,Low
31,Emp_31,HR,Engineer,Low
32,Emp_32,Security,Admin,Medium
33,Emp_33,Security,Engineer,Medium
34,Emp_34,IT,Manager,Low
35,Emp_35,HR,Analyst,Medium
36,Emp_36,Operations,Analyst,Medium
37,Emp_37,HR,Manager,Low
38,Emp_38,Operations,Engineer,High
39,Emp_39,IT,Manager,High
40,Emp_40,Finance,Manager,Medium
41,Emp_41,Security,Admin,Low
42,Emp_42,IT,Manager,Medium
43,Emp_43,Security,Analyst,Low
44,Emp_44,Finance,Manager,Low
45,Emp_45,Finance,Analyst,Low
46,Emp_46,IT,Analyst,Low
47,Emp_47,Finance,Analyst,High
48,Emp_48,Operations,Engineer,Medium
49,Emp_49,Finance,Admin,Medium
50,Emp_50,Security,Analyst,Low
51,Emp_51,Security,Analyst,Low
52,Emp_52,Security,Engineer,Low
53,Emp_53,Security,Analyst,High
54,Emp_54,Operations,Manager,Low
55,Emp_55,HR,Manager,High
56,Emp_56,IT,Admin,Medium
57,Emp_57,Security,Analyst,Low
58,Emp_58,Finance,Engineer,Medium
59,Emp_59,Security,Manager,Low
60,Emp_60,Finance,Engineer,High
61,Emp_61,Finance,Engineer,High
62,Emp_62,Security,Manager,Low
63,Emp_63,Operations,Engineer,Low
64,Emp_64,Finance,Manager,Medium
65,Emp_65,Finance,Engineer,High
66,Emp_66,Security,Manager,Low
67,Emp_67,Finance,Analyst,Medium
68,Emp_68,Finance,Admin,Medium
69,Emp_69,Security,Manager,Medium
70,Emp_70,Security,Manager,Low
71,Emp_71,IT,Admin,Medium
72,Emp_72,Operations,Manager,High
73,Emp_73,Operations,Manager,Low
74,Emp_74,Finance,Engineer,Low
75,Emp_75,Operations,Admin,High
76,Emp_76,Finance,Analyst,Low
77,Emp_77,IT,Manager,High
78,Emp_78,Security,Admin,Low
79,Emp_79,Security,Engineer,Low
80,Emp_80,Security,Analyst,High
81,Emp_81,Operations,Admin,Low
82,Emp_82,IT,Analyst,Medium
83,Emp_83,Operations,Analyst,Low
84,Emp_84,Operations,Analyst,Medium
85,Emp_85,IT,Manager,Low
86,Emp_86,IT,Manager,Low
87,Emp_87,IT,Engineer,High
88,Emp_88,IT,Engineer,Low
89,Emp_89,Security,Admin,Medium
90,Emp_90,HR,Engineer,Low
91,Emp_91,HR,Analyst,Medium
92,Emp_92,IT,Analyst,Low
93,Emp_93,HR,Manager,High
94,Emp_94,HR,Analyst,Low
95,Emp_95,IT,Admin,Low
96,Emp_96,HR,Analyst,Low
97,Emp_97,Operations,Analyst,Low
98,Emp_98,Finance,Admin,Medium
99,Emp_99,Finance,Engineer,Low
100,Emp_100,IT,Engineer,High
101,Emp_101,Security,Admin,Low
102,Emp_102,IT,Manager,Low
103,Emp_103,Security,Analyst,Medium
104,Emp_104,Finance,Admin,Medium
105,Emp_105,IT,Analyst,Low
106,Emp_106,Operations,Manager,Low
107,Emp_107,HR,Analyst,Low
108,Emp_108,Security,Admin,Medium
109,Emp_109,HR,Analyst,Medium
110,Emp_110,HR,Engineer,Low
111,Emp_111,IT,Manager,High
112,Emp_112,HR,Manager,High
113,Emp_113,Operations,Manager,Medium
114,Emp_114,HR,Admin,High
115,Emp_115,IT,Manager,Low
116,Emp_116,Operations,Engineer,Low
117,Emp_117,Finance,Admin,Low
118,Emp_118,HR,Engineer,Low
119,Emp_119,IT,Analyst,Medium
120,Emp_120,Finance,Analyst,High
121,Emp_121,Finance,Analyst,Low
122,Emp_122,Security,Analyst,Low
123,Emp_123,Operations,Engineer,Low
124,Emp_124,HR,Admin,High
125,Emp_125,IT,Admin,Low
126,Emp_126,Security,Manager,Medium
127,Emp_127,Operations,Engineer,Low
128,Emp_128,Security,Analyst,Low
129,Emp_129,Operations,Engineer,High
130,Emp_130,Operations,Manager,High
131,Emp_131,HR,Manager,Low
