IncidentID,DeviceID,IncidentType,StartTime,EndTime,Severity
1,30,Downtime,2023-03-18,2023-03-18 01:12:00,Medium
2,107,Security Breach,2023-01-09,2023-01-09 01:27:00,Medium
3,478,Security Breach,2023-04-17,2023-04-17 01:40:00,Low
4,446,Security Breach,2023-01-11,2023-01-11 02:25:00,Medium
5,479,Security Breach,2023-12-15,2023-12-15 01:53:00,High
6,146,Security Breach,2023-11-20,2023-11-20 05:57:00,High
7,257,Downtime,2023-05-04,2023-05-04 03:26:00,Medium
8,122,Downtime,2023-07-21,2023-07-21 00:18:00,High
9,260,Security Breach,2023-12-05,2023-12-05 06:43:00,Low
10,388,Security Breach,2023-02-11,2023-02-11 04:10:00,Medium
11,22,Security Breach,2023-03-19,2023-03-19 03:28:00,Medium
12,223,Security Breach,2023-02-17,2023-02-17 03:46:00,Medium
13,201,Downtime,2023-12-18,2023-12-18 09:59:00,High
14,106,Downtime,2023-09-13,2023-09-13 04:53:00,Low
15,120,Security Breach,2023-04-11,2023-04-11 04:18:00,Low
16,158,Security Breach,2023-11-30,2023-11-30 04:34:00,High
17,372,Security Breach,2023-11-07,2023-11-07 04:51:00,Low
18,190,Downtime,2023-05-31,2023-05-31 04:24:00,Low
19,164,Downtime,2023-10-18,2023-10-18 05:53:00,High
20,89,Security Breach,2023-03-16,2023-03-16 04:36:00,High
21,77,Downtime,2023-03-30,2023-03-30 04:22:00,Low
22,451,Downtime,2023-06-15,2023-06-15 03:22:00,Medium
23,64,Security Breach,2023-04-24,2023-04-24 09:44:00,Low
24,10,Downtime,2023-09-09,2023-09-09 09:30:00,Low
25,159,Security Breach,2023-08-27,2023-08-27 06:27:00,Low
26,221,Downtime,2023-08-08,2023-08-08 07:49:00,Low
27,38,Security Breach,2023-06-12,2023-06-12 01:07:00,Medium
28,30,Downtime,2023-11-19,2023-11-19 06:21:00,High
29,156,Downtime,2023-09-30,2023-09-30 05:01:00,Low
30,224,Downtime,2023-08-23,2023-08-23 08:24:00,High
31,111,Security Breach,2023-12-11,2023-12-11 02:47:00,High
32,292,Downtime,2023-08-06,2023-08-06 06:49:00,Medium
33,260,Downtime,2023-06-30,2023-06-30 08:25:00,Low
34,52,Downtime,2023-04-15,2023-04-15 04:58:00,Medium
35,346,Downtime,2023-04-29,2023-04-29 06:47:00,Medium
36,475,Downtime,2023-12-24,2023-12-24 02:34:00,Medium
37,460,Downtime,2023-03-15,2023-03-15 05:01:00,Low
38,237,Security Breach,2023-03-20,2023-03-20 06:41:00,Low
39,166,Downtime,2023-11-21,2023-11-21 00:32:00,High
40,50,Security Breach,2023-04-10,2023-04-10 04:31:00,High
41,430,Security Breach,2023-03-21,2023-03-21 00:22:00,High
42,204,Downtime,2023-05-30,2023-05-30 01:23:00,Low
43,364,Security Breach,2023-01-25,2023-01-25 04:21:00,High
44,248,Security Breach,2023-04-16,2023-04-16 00:51:00,Low
45,48,Security Breach,2023-01-10,2023-01-10 05:11:00,Medium
46,29,Security Breach,2023-10-31,2023-10-31 07:49:00,Low
47,298,Downtime,2023-02-01,2023-02-01 04:27:00,High
48,335,Downtime,2023-02-23,2023-02-23 00:41:00,High
49,177,Security Breach,2023-09-27,2023-09-27 06:33:00,Medium
50,133,Security Breach,2023-04-23,2023-04-23 03:55:00,High
51,77,Downtime,2023-06-12,2023-06-12 02:26:00,Low
52,471,Security Breach,2023-04-27,2023-04-27 06:09:00,Medium
53,293,Security Breach,2023-04-14,2023-04-14 00:54:00,High
54,232,Downtime,2023-03-20,2023-03-20 03:39:00,Medium
55,369,Downtime,2023-06-16,2023-06-16 05:51:00,Low
56,79,Downtime,2023-07-12,2023-07-12 02:51:00,Medium
57,56,Security Breach,2023-04-01,2023-04-01 03:45:00,Low
58,288,Downtime,2023-02-16,2023-02-16 09:37:00,Low
59,45,Security Breach,2023-01-25,2023-01-25 00:52:00,Low
60,369,Downtime,2023-05-20,2023-05-20 01:51:00,High
61,399,Downtime,2023-08-25,2023-08-25 03:28:00,Low
62,188,Downtime,2023-11-02,2023-11-02 03:58:00,Low
63,366,Downtime,2023-08-28,2023-08-28 04:54:00,Medium
64,147,Security Breach,2023-02-26,2023-02-26 06:24:00,High
65,487,Security Breach,2023-12-10,2023-12-10 04:22:00,Medium
66,393,Downtime,2023-06-26,2023-06-26 02:36:00,Medium
67,470,Security Breach,2023-11-15,2023-11-15 02:19:00,Medium
68,225,Security Breach,2023-11-24,2023-11-24 06:12:00,High
69,335,Security Breach,2023-01-14,2023-01-14 03:39:00,Low
70,22,Downtime,2023-07-07,2023-07-07 01:57:00,High
71,152,Security Breach,2023-02-03,2023-02-03 03:30:00,High
72,20,Security Breach,2023-12-02,2023-12-02 08:18:00,High
73,67,Downtime,2023-07-02,2023-07-02 08:57:00,Medium
74,412,Downtime,2023-06-04,2023-06-04 06:43:00,Medium
75,202,Downtime,2023-03-08,2023-03-08 01:42:00,Low
76,122,Security Breach,2023-09-12,2023-09-12 00:32:00,Low
77,442,Security Breach,2023-05-07,2023-05-07 07:23:00,Low
78,115,Security Breach,2023-10-17,2023-10-17 08:42:00,Medium
79,166,Downtime,2023-11-12,2023-11-12 05:49:00,High
80,96,Security Breach,2023-03-19,2023-03-19 01:26:00,Medium
81,467,Downtime,2023-12-24,2023-12-24 01:29:00,High
82,464,Security Breach,2023-01-13,2023-01-13 09:09:00,High
83,388,Security Breach,2023-09-04,2023-09-04 02:08:00,Low
84,129,Security Breach,2023-09-13,2023-09-13 02:06:00,High
85,37,Downtime,2023-07-12,2023-07-12 06:38:00,High
86,379,Downtime,2023-01-16,2023-01-16 09:25:00,Medium
87,260,Downtime,2023-04-22,2023-04-22 01:30:00,High
88,245,Downtime,2023-03-11,2023-03-11 07:13:00,Medium
89,334,Downtime,2023-03-14,2023-03-14 08:24:00,High
90,12,Downtime,2023-01-16,2023-01-16 07:40:00,High
91,64,Downtime,2023-05-24,2023-05-24 00:40:00,Medium
92,473,Security Breach,2023-01-10,2023-01-10 01:19:00,Medium
93,470,Security Breach,2023-11-18,2023-11-18 06:29:00,High
94,199,Security Breach,2023-07-25,2023-07-25 08:19:00,Low
95,299,Downtime,2023-08-10,2023-08-10 01:31:00,High
96,248,Security Breach,2023-07-28,2023-07-28 02:29:00,Low
97,80,Security Breach,2023-05-02,2023-05-02 00:45:00,High
98,353,Downtime,2023-07-19,2023-07-19 01:12:00,Medium
99,456,Downtime,2023-12-30,2023-12-30 01:48:00,High
100,132,Downtime,2023-02-01,2023-02-01 04:36:00,High
101,214,Downtime,2023-11-08,2023-11-08 08:53:00,Low
102,207,Security Breach,2023-06-08,2023-06-08 00:21:00,High
103,382,Downtime,2023-02-04,2023-02-04 04:17:00,High
104,3,Downtime,2023-05-27,2023-05-27 07:16:00,High
105,405,Downtime,2023-10-14,2023-10-14 06:30:00,Low
106,332,Security Breach,2023-07-28,2023-07-28 04:17:00,Low
107,134,Security Breach,2023-10-01,2023-10-01 01:31:00,High
108,113,Security Breach,2023-01-03,2023-01-03 08:51:00,Low
109,117,Downtime,2023-04-11,2023-04-11 08:13:00,Medium
110,467,Security Breach,2023-01-17,2023-01-17 02:07:00,Low
111,167,Downtime,2023-01-22,2023-01-22 04:39:00,Medium
112,401,Downtime,2023-10-31,2023-10-31 07:40:00,Low
113,306,Security Breach,2023-04-09,2023-04-09 05:36:00,Medium
114,103,Downtime,2023-04-14,2023-04-14 03:47:00,High
115,38,Downtime,2023-02-05,2023-02-05 05:16:00,Low
116,68,Downtime,2023-11-14,2023-11-14 03:21:00,Medium
117,416,Downtime,2023-12-23,2023-12-23 01:31:00,Low
118,54,Downtime,2023-07-21,2023-07-21 07:15:00,Medium
119,452,Downtime,2023-07-16,2023-07-16 01:08:00,High
